Tiempo (s),Modo Operacion,X (mm),Y (mm),Z (mm),J1 (deg),J2 (deg),J3 (deg),J4 (deg),J5 (deg),J6 (deg),Vacuum Activo,Payload (kg),I_J1 (A),I_J2 (A),I_J3 (A),I_J4 (A),I_J5 (A),I_J6 (A),T_J1 (C),T_J2 (C),T_J3 (C),T_J4 (C),T_J5 (C),T_J6 (C)
0.0333,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.0,25.01,25.0,25.0,25.0,25.0
0.0666,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.01,25.02,25.0,25.0,25.0,25.0
0.0999,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.01,25.02,25.01,25.0,25.0,25.0
0.1332,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.01,25.03,25.01,25.0,25.0,25.0
0.1665,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.02,25.04,25.01,25.0,25.0,25.0
0.1998,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.02,25.05,25.01,25.0,25.0,25.0
0.2331,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.02,25.06,25.02,25.0,25.0,25.0
0.2664,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.03,25.06,25.02,25.0,25.0,25.0
0.2997,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.03,25.07,25.02,25.0,25.0,25.0
0.333,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.03,25.08,25.02,25.0,25.0,25.0
0.3663,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.03,25.09,25.03,25.0,25.0,25.0
0.3996,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.04,25.09,25.03,25.0,25.0,25.0
0.4329,MANUAL (JOG),2345.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,4.0,2.5,0.5,0.5,0.5,25.04,25.1,25.03,25.0,25.0,25.0
